,sr_id,error_codes,log_timestamp
2330,1-172620856351,230023010,2015-06-02 22:34:32
2331,1-172620856351,200109109,2015-06-02 22:43:04
2332,1-172374512951,230023009,2015-06-02 22:44:24
2333,1-172374512951,230023010,2015-06-02 22:45:32
2334,1-172620856351,200281001,2015-06-02 22:47:19
2335,1-172620856351,200109110,2015-06-02 22:47:19
2336,1-172620856351,200281001,2015-06-02 22:48:15
2337,1-172620856351,210000454,2015-06-02 22:48:15
2338,1-172374512951,200109109,2015-06-02 22:48:52
2339,1-172620856351,200281001,2015-06-02 22:48:59
2340,1-172620856351,200281001,2015-06-02 22:49:02
2341,1-172374512951,200109110,2015-06-02 23:14:09
2342,1-172374512951,210000454,2015-06-02 23:14:10
2343,1-172374512951,200109109,2015-06-02 23:42:21
2344,1-172374512951,200281001,2015-06-02 23:57:28
2345,1-172374512951,200281001,2015-06-02 23:58:36
2346,1-172374512951,200281001,2015-06-02 23:59:12
2347,1-172374512951,200281001,2015-06-02 23:59:18
2348,1-172374512951,200281001,2015-06-02 23:59:47
2349,1-172374512951,200281001,2015-06-02 23:59:50
2350,1-172374512951,200109110,2015-06-03 00:01:59
2351,1-172374512951,210000454,2015-06-03 00:02:00
2352,1-172374512951,200281001,2015-06-03 00:06:21
2353,1-172374512951,200281001,2015-06-03 00:06:27
2354,1-172374512951,200281001,2015-06-03 00:06:29
2355,1-172374512951,200281001,2015-06-03 00:06:56
2356,1-172374512951,200281001,2015-06-03 00:07:02
2357,1-172374512951,200520024,2015-06-03 01:24:51
2358,1-172374512951,200001818,2015-06-03 01:24:52
2359,1-172374512951,230020201,2015-06-03 01:24:52
2360,1-172374512951,200001818,2015-06-03 01:24:52
2361,1-172374512951,0,2015-06-03 01:24:52
2362,1-172374512951,200001818,2015-06-03 01:24:52
2363,1-172374512951,200001808,2015-06-03 01:24:52
2364,1-172374512951,200001818,2015-06-03 01:24:52
2365,1-172374512951,200001808,2015-06-03 01:24:56
2366,1-172374512951,200280011,2015-06-03 01:24:59
2367,1-172374512951,200280011,2015-06-03 01:24:59
2368,1-172374512951,200002331,2015-06-03 01:24:59
2369,1-172374512951,200001808,2015-06-03 01:24:59
2370,1-172374512951,200001808,2015-06-03 01:24:59
2371,1-172374512951,200001808,2015-06-03 01:24:59
2372,1-172374512951,200001808,2015-06-03 01:24:59
2373,1-172374512951,200001808,2015-06-03 01:24:59
2374,1-172374512951,200001808,2015-06-03 01:24:59
2375,1-172374512951,200001808,2015-06-03 01:24:59
2376,1-172374512951,200280011,2015-06-03 01:24:59
2377,1-172374512951,200280011,2015-06-03 01:25:00
2378,1-172374512951,200280011,2015-06-03 01:25:00
2379,1-172374512951,200281001,2015-06-03 01:25:00
2380,1-172374512951,200281001,2015-06-03 01:25:00
2381,1-172374512951,200002391,2015-06-03 01:25:00
2382,1-172374512951,200281001,2015-06-03 01:25:00
2383,1-172374512951,200520002,2015-06-03 01:25:01
2384,1-172374512951,200501531,2015-06-03 01:25:01
2385,1-172374512951,200002395,2015-06-03 01:25:17
2386,1-172374512951,200002392,2015-06-03 01:25:17
2387,1-172374512951,200002348,2015-06-03 01:25:49
2388,1-172374512951,200501502,2015-06-03 01:25:49
2389,1-172374512951,200002396,2015-06-03 01:25:49
2390,1-172620856351,230023009,2015-06-03 01:31:12
2391,1-172620856351,230023010,2015-06-03 01:32:18
2392,1-172374512951,0,2015-06-03 01:36:08
2393,1-172374512951,200002305,2015-06-03 01:36:14
2394,1-172374512951,200002305,2015-06-03 01:36:14
2395,1-172374512951,200002347,2015-06-03 01:36:14
2396,1-172374512951,230020200,2015-06-03 01:36:15
2397,1-172374512951,260140030,2015-06-03 01:36:17
2398,1-172374512951,200002389,2015-06-03 01:36:17
2399,1-172374512951,200510059,2015-06-03 01:36:18
2400,1-172374512951,200501531,2015-06-03 01:36:18
2401,1-172374512951,200501534,2015-06-03 01:36:18
2402,1-172374512951,200501547,2015-06-03 01:36:18
2403,1-172374512951,200510061,2015-06-03 01:36:18
2404,1-172374512951,230018036,2015-06-03 01:36:18
2405,1-172374512951,260140018,2015-06-03 01:36:18
2406,1-172374512951,200501531,2015-06-03 01:36:23
2407,1-172374512951,200501547,2015-06-03 01:36:23
2408,1-172374512951,200501534,2015-06-03 01:36:23
2409,1-172374512951,200510061,2015-06-03 01:36:23
2410,1-172374512951,200002390,2015-06-03 01:36:25
2411,1-172374512951,200002393,2015-06-03 01:36:25
2412,1-172374512951,200501534,2015-06-03 01:36:28
2413,1-172374512951,200501547,2015-06-03 01:36:28
2414,1-172374512951,200510061,2015-06-03 01:36:28
2415,1-172374512951,200501531,2015-06-03 01:36:28
2416,1-172374512951,200501534,2015-06-03 01:36:33
2417,1-172374512951,200510061,2015-06-03 01:36:33
2418,1-172374512951,200501547,2015-06-03 01:36:33
2419,1-172374512951,200501531,2015-06-03 01:36:33
2420,1-172374512951,200002394,2015-06-03 01:36:34
2421,1-172374512951,200510061,2015-06-03 01:36:38
2422,1-172374512951,200501547,2015-06-03 01:36:38
2423,1-172374512951,200501531,2015-06-03 01:36:38
2424,1-172374512951,200501534,2015-06-03 01:36:38
2425,1-172374512951,200501534,2015-06-03 01:36:43
2426,1-172374512951,200501547,2015-06-03 01:36:43
2427,1-172374512951,200510061,2015-06-03 01:36:43
2428,1-172374512951,200501531,2015-06-03 01:36:43
2429,1-172374512951,200510061,2015-06-03 01:36:48
2430,1-172374512951,200501547,2015-06-03 01:36:48
2431,1-172374512951,200501534,2015-06-03 01:36:48
2432,1-172374512951,200501531,2015-06-03 01:36:48
2433,1-172374512951,200510061,2015-06-03 01:36:53
2434,1-172374512951,200501547,2015-06-03 01:36:53
2435,1-172374512951,200501534,2015-06-03 01:36:53
2436,1-172374512951,200501531,2015-06-03 01:36:53
2437,1-172374512951,260140029,2015-06-03 01:36:53
2438,1-172374512951,244629,2015-06-03 01:36:53
2439,1-172374512951,260140029,2015-06-03 01:36:53
2440,1-172374512951,244642,2015-06-03 01:36:55
2441,1-172374512951,244629,2015-06-03 01:36:55
2442,1-172374512951,0,2015-06-03 01:36:55
2443,1-172374512951,260116316,2015-06-03 01:36:57
2444,1-172374512951,200501534,2015-06-03 01:36:58
2445,1-172374512951,200501547,2015-06-03 01:36:58
2446,1-172374512951,200510061,2015-06-03 01:36:58
2447,1-172374512951,200501531,2015-06-03 01:36:58
2448,1-172374512951,200501534,2015-06-03 01:37:03
2449,1-172374512951,200501547,2015-06-03 01:37:03
2450,1-172374512951,200510061,2015-06-03 01:37:03
2451,1-172374512951,200501531,2015-06-03 01:37:03
2452,1-172374512951,244572,2015-06-03 01:37:06
2453,1-172374512951,260116315,2015-06-03 01:37:06
2454,1-172374512951,200510061,2015-06-03 01:37:08
2455,1-172374512951,200501534,2015-06-03 01:37:08
2456,1-172374512951,200501531,2015-06-03 01:37:08
2457,1-172374512951,200501547,2015-06-03 01:37:08
2458,1-172374512951,244599,2015-06-03 01:37:10
2459,1-172374512951,244599,2015-06-03 01:37:10
2460,1-172374512951,244599,2015-06-03 01:37:10
2461,1-172374512951,244599,2015-06-03 01:37:10
2462,1-172374512951,244599,2015-06-03 01:37:10
2463,1-172374512951,260111019,2015-06-03 01:37:10
2464,1-172374512951,244599,2015-06-03 01:37:10
2465,1-172374512951,200288002,2015-06-03 01:37:11
2466,1-172374512951,200001830,2015-06-03 01:37:11
2467,1-172374512951,200001804,2015-06-03 01:37:11
2468,1-172374512951,200620012,2015-06-03 01:37:12
2469,1-172374512951,200285063,2015-06-03 01:37:12
2470,1-172374512951,14160,2015-06-03 01:37:12
2471,1-172374512951,200000003,2015-06-03 01:37:13
2472,1-172374512951,200001830,2015-06-03 01:37:13
2473,1-172374512951,200501531,2015-06-03 01:37:13
2474,1-172374512951,200501534,2015-06-03 01:37:13
2475,1-172374512951,200501547,2015-06-03 01:37:13
2476,1-172374512951,200510061,2015-06-03 01:37:13
2477,1-172374512951,200001830,2015-06-03 01:37:13
2478,1-172374512951,200281001,2015-06-03 01:37:15
2479,1-172374512951,200281001,2015-06-03 01:37:15
2480,1-172374512951,200281001,2015-06-03 01:37:15
2481,1-172374512951,200001804,2015-06-03 01:37:18
2482,1-172374512951,200001810,2015-06-03 01:37:18
2483,1-172374512951,200001810,2015-06-03 01:37:18
2484,1-172374512951,200501531,2015-06-03 01:37:18
2485,1-172374512951,200501534,2015-06-03 01:37:18
2486,1-172374512951,200501547,2015-06-03 01:37:18
2487,1-172374512951,200510061,2015-06-03 01:37:18
2488,1-172374512951,200001830,2015-06-03 01:37:18
2489,1-172374512951,245191,2015-06-03 01:37:18
2490,1-172374512951,200001803,2015-06-03 01:37:18
2491,1-172374512951,200110035,2015-06-03 01:37:20
2492,1-172374512951,200501534,2015-06-03 01:37:21
2493,1-172374512951,200501536,2015-06-03 01:37:21
2494,1-172374512951,200001830,2015-06-03 01:37:21
2495,1-172374512951,200501530,2015-06-03 01:37:21
2496,1-172374512951,200190000,2015-06-03 01:37:22
2497,1-172374512951,200190000,2015-06-03 01:37:22
2498,1-172374512951,200190000,2015-06-03 01:37:22
2499,1-172374512951,260125003,2015-06-03 01:37:23
2500,1-172374512951,290013000,2015-06-03 01:37:41
2501,1-172374512951,244649,2015-06-03 01:37:43
2502,1-172374512951,200002379,2015-06-03 01:37:45
2503,1-172374512951,290013001,2015-06-03 01:37:45
2504,1-172374512951,200352909,2015-06-03 01:37:45
2505,1-172374512951,244585,2015-06-03 01:37:47
2506,1-172374512951,230023009,2015-06-03 01:45:27
2507,1-172374512951,230023010,2015-06-03 01:46:32
2508,1-172374512951,230023009,2015-06-03 01:49:10
2509,1-172374512951,230023009,2015-06-03 01:49:32
2510,1-172374512951,230023009,2015-06-03 01:50:27
2511,1-172374512951,230023009,2015-06-03 01:51:05
2512,1-172374512951,230015038,2015-06-03 01:51:32
2513,1-172374512951,230023070,2015-06-03 01:51:32
2514,1-172374512951,230023009,2015-06-03 01:51:32
2515,1-172374512951,230007012,2015-06-03 01:51:32
2516,1-172374512951,230015038,2015-06-03 01:51:32
2517,1-172374512951,230023009,2015-06-03 01:52:12
2518,1-172374512951,230023010,2015-06-03 01:54:25
2519,1-172620856351,200109109,2015-06-03 01:58:59
2520,1-172620856351,200281001,2015-06-03 02:00:38
2521,1-172620856351,200109110,2015-06-03 02:00:38
2522,1-172620856351,210000454,2015-06-03 02:01:35
2523,1-172620856351,200281001,2015-06-03 02:01:35
2524,1-172620856351,200281001,2015-06-03 02:02:25
2525,1-172620856351,200281001,2015-06-03 02:02:31
2526,1-172620856351,200109109,2015-06-03 02:28:24
2527,1-172620856351,200281001,2015-06-03 02:30:10
2528,1-172620856351,200109110,2015-06-03 02:30:10
2529,1-172620856351,200281001,2015-06-03 02:31:06
2530,1-172620856351,210000454,2015-06-03 02:31:06
2531,1-172620856351,200281001,2015-06-03 02:31:46
2532,1-172620856351,200281001,2015-06-03 02:31:52
2533,1-172620856351,200109109,2015-06-03 02:44:24
2534,1-172620856351,210000441,2015-06-03 02:48:35
2535,1-172620856351,210000440,2015-06-03 02:48:35
2536,1-172620856351,200109012,2015-06-03 02:48:35
2537,1-172620856351,200502003,2015-06-03 02:48:35
2538,1-172620856351,200109100,2015-06-03 02:48:35
2539,1-172620856351,200107023,2015-06-03 02:48:35
2540,1-172620856351,210000441,2015-06-03 02:48:39
2541,1-172620856351,200109012,2015-06-03 02:48:39
2542,1-172620856351,210000440,2015-06-03 02:48:39
2543,1-172620856351,200107023,2015-06-03 02:48:39
2544,1-172620856351,200502003,2015-06-03 02:48:39
2545,1-172620856351,200109100,2015-06-03 02:48:39
2546,1-172620856351,210000441,2015-06-03 02:48:42
2547,1-172620856351,200502003,2015-06-03 02:48:42
2548,1-172620856351,200107023,2015-06-03 02:48:42
2549,1-172620856351,210000440,2015-06-03 02:48:42
2550,1-172620856351,200109100,2015-06-03 02:48:42
2551,1-172620856351,200109012,2015-06-03 02:48:42
2552,1-172620856351,200108054,2015-06-03 02:50:08
2553,1-172620856351,200108060,2015-06-03 02:51:02
2554,1-172620856351,200108060,2015-06-03 02:51:02
2555,1-172620856351,200108060,2015-06-03 02:51:02
2556,1-172620856351,200108060,2015-06-03 02:51:02
2557,1-172620856351,200502003,2015-06-03 02:51:27
2558,1-172620856351,210000441,2015-06-03 02:51:27
2559,1-172620856351,200107023,2015-06-03 02:51:27
2560,1-172620856351,210000440,2015-06-03 02:51:27
2561,1-172620856351,200109100,2015-06-03 02:51:27
2562,1-172620856351,200109012,2015-06-03 02:51:27
2563,1-172620856351,210000440,2015-06-03 02:51:32
2564,1-172620856351,200107023,2015-06-03 02:51:32
2565,1-172620856351,200109012,2015-06-03 02:51:32
2566,1-172620856351,200502003,2015-06-03 02:51:32
2567,1-172620856351,210000441,2015-06-03 02:51:32
2568,1-172620856351,200109100,2015-06-03 02:51:32
2569,1-172620856351,210000440,2015-06-03 02:51:36
2570,1-172620856351,200107023,2015-06-03 02:51:36
2571,1-172620856351,210000441,2015-06-03 02:51:36
2572,1-172620856351,200502003,2015-06-03 02:51:36
2573,1-172620856351,200109012,2015-06-03 02:51:36
2574,1-172620856351,200109100,2015-06-03 02:51:36
2575,1-172620856351,200502003,2015-06-03 02:51:40
2576,1-172620856351,210000441,2015-06-03 02:51:40
2577,1-172620856351,200109012,2015-06-03 02:51:41
2578,1-172620856351,210000440,2015-06-03 02:51:41
2579,1-172620856351,200107023,2015-06-03 02:51:41
2580,1-172620856351,200109100,2015-06-03 02:51:41
2581,1-172620856351,210000440,2015-06-03 02:51:45
2582,1-172620856351,200109100,2015-06-03 02:51:45
2583,1-172620856351,200109012,2015-06-03 02:51:45
2584,1-172620856351,200502003,2015-06-03 02:51:45
2585,1-172620856351,210000441,2015-06-03 02:51:45
2586,1-172620856351,200107023,2015-06-03 02:51:45
